Setting,Clean Acc,Robust Acc,Untargeted ASR,Targeted_ASR(random),Targeted_ASR(least_likely)
ε=0.0039, 95.01,79.48, 20.52,3.16,0.01
ε=0.0078, 95.01,62.75, 37.25,7.41,0.02
ε=0.0157, 95.01,39.89, 60.11,16.13,0.24
ε=0.0314, 95.01,20.76, 79.24,25.08,1.19
